id	text	date
1		2021-03-27 21:52:40+00:00
1317	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-4.95%)** triggerPrice: 55452.45 currentPrice: 58195.76	2021-05-01 04:00:23+00:00
1318	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-4.67%)** triggerPrice: 55452.45 currentPrice: 58039.45	2021-05-01 06:00:21+00:00
1319	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-4.12%)** triggerPrice: 55452.45 currentPrice: 57735.92	2021-05-01 08:00:22+00:00
1320	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-3.57%)** triggerPrice: 55452.45 currentPrice: 57433.17	2021-05-01 10:00:17+00:00
1321	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-4.27%)** triggerPrice: 55452.45 currentPrice: 57822.51	2021-05-01 12:00:18+00:00
1322	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-3.95%)** triggerPrice: 55452.45 currentPrice: 57642.58	2021-05-01 14:00:19+00:00
1324	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-3.48%)** triggerPrice: 55452.45 currentPrice: 57381.51	2021-05-01 16:00:19+00:00
1325	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-3.81%)** triggerPrice: 55452.45 currentPrice: 57565.97	2021-05-01 18:00:20+00:00
1326	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-4.12%)** triggerPrice: 55452.45 currentPrice: 57736.33	2021-05-01 20:00:22+00:00
1327	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-3.51%)** triggerPrice: 55452.45 currentPrice: 57401.1	2021-05-01 22:00:22+00:00
1328	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-4.26%)** triggerPrice: 55452.45 currentPrice: 57817.11	2021-05-02 00:00:27+00:00
1329	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-3.62%)** triggerPrice: 55452.45 currentPrice: 57458.68	2021-05-02 02:00:21+00:00
1330	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-1.68%)** triggerPrice: 55452.45 currentPrice: 56386.1	2021-05-02 04:00:22+00:00
1331	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-2.59%)** triggerPrice: 55452.45 currentPrice: 56887.08	2021-05-02 06:00:18+00:00
1332	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-2.19%)** triggerPrice: 55452.45 currentPrice: 56667.93	2021-05-02 08:00:20+00:00
1333	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-1.76%)** triggerPrice: 55452.45 currentPrice: 56431.15	2021-05-02 10:00:18+00:00
1334	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-3.18%)** triggerPrice: 55452.45 currentPrice: 57215.19	2021-05-02 12:00:18+00:00
1335	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-2.18%)** triggerPrice: 55452.45 currentPrice: 56660.55	2021-05-02 14:00:18+00:00
1336	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-2.04%)** triggerPrice: 55452.45 currentPrice: 56582.22	2021-05-02 16:00:18+00:00
1337	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-2.45%)** triggerPrice: 55452.45 currentPrice: 56813.07	2021-05-02 18:00:19+00:00
1338	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-2.61%)** triggerPrice: 55452.45 currentPrice: 56901.11	2021-05-02 20:00:21+00:00
1339	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-2.3%)** triggerPrice: 55452.45 currentPrice: 56729.3	2021-05-02 22:00:24+00:00
1340	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-1.97%)** triggerPrice: 55452.45 currentPrice: 56542.25	2021-05-03 00:00:22+00:00
1341	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-4.77%)** triggerPrice: 55452.45 currentPrice: 58100	2021-05-03 02:00:24+00:00
1342	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-4.43%)** triggerPrice: 55452.45 currentPrice: 57906.54	2021-05-03 04:00:21+00:00
1343	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-4.47%)** triggerPrice: 55452.45 currentPrice: 57931.17	2021-05-03 06:00:19+00:00
1344	Yay! I'm **ONLINE** trading: **BTCUSDT** position: SHORT  **(-6.03%)** triggerPrice: 55452.45 currentPrice: 58793.59	2021-05-03 08:00:19+00:00
